URI,type,label,definition,subClassOf,subPropertyOf 
prov:EntityInfluence,owl:Class,EntityInfluence,EntityInfluence provides additional descriptions of an Entity's binary influence upon any other kind of resource. Instances of EntityInfluence use the prov:entity property to cite the influencing Entity.,prov:Influence,  
prov:qualifiedCommunication,owl:ObjectProperty,qualifiedCommunication,"If this Activity prov:wasInformedBy Activity :a, then it can qualify how it was influenced using prov:qualifiedCommunication [ a prov:Communication;  prov:activity :a; :foo :bar ]. ", ,prov:qualifiedInfluence 
prov:Bundle,owl:Class,Bundle,"Note that there are kinds of bundles (e.g. handwritten letters, audio recordings, etc.) that are not expressed in PROV-O, but can be still be described by PROV-O. ",prov:Entity,  
prov:atLocation,owl:ObjectProperty,atLocation,"This property has multiple RDFS domains to suit multiple OWL Profiles. See <a href=""#owl-profile"">PROV-O OWL Profile</a>. ", ,  
prov:atLocation,owl:ObjectProperty,atLocation,The Location of any resource., ,  
prov:wasRevisionOf,owl:ObjectProperty,wasRevisionOf,A revision is a derivation that revises an entity into a revised version., ,prov:wasDerivedFrom 
prov:wasRevisionOf,owl:AnnotationProperty,wasRevisionOf,A revision is a derivation that revises an entity into a revised version., ,prov:wasDerivedFrom 
prov:Influence,owl:Class,Influence,"An instance of prov:Influence provides additional descriptions about the binary prov:wasInfluencedBy relation from some influenced Activity, Entity, or Agent to the influencing Activity, Entity, or Agent. For example, :stomach_ache prov:wasInfluencedBy :spoon; prov:qualifiedInfluence [ a prov:Influence; prov:entity :spoon; :foo :bar ] . Because prov:Influence is a broad relation, the more specific relations (Communication, Delegation, End, etc.) should be used when applicable. ", ,  
prov:Influence,owl:Class,Influence,"Because prov:Influence is a broad relation, its most specific subclasses (e.g. prov:Communication, prov:Delegation, prov:End, prov:Revision, etc.) should be used when applicable. ", ,  
prov:Quotation,owl:Class,Quotation,"An instance of prov:Quotation provides additional descriptions about the binary prov:wasQuotedFrom relation from some taken prov:Entity from an earlier, larger prov:Entity. For example, :here_is_looking_at_you_kid prov:wasQuotedFrom :casablanca_script; prov:qualifiedQuotation [ a prov:Quotation; prov:entity :casablanca_script; :foo :bar ]. ",prov:Derivation,  
prov:qualifiedUsage,owl:ObjectProperty,qualifiedUsage,"If this Activity prov:used Entity :e, then it can qualify how it used it using prov:qualifiedUsage [ a prov:Usage; prov:entity :e; :foo :bar ]. ", ,prov:qualifiedInfluence 
prov:qualifiedQuotation,owl:ObjectProperty,qualifiedQuotation,"If this Entity prov:wasQuotedFrom Entity :e, then it can qualify how using prov:qualifiedQuotation [ a prov:Quotation;  prov:entity :e; :foo :bar ]. ", ,prov:qualifiedInfluence 
prov:wasAssociatedWith,owl:ObjectProperty,wasAssociatedWith,An prov:Agent that had some (unspecified) responsibility for the occurrence of this prov:Activity., ,prov:wasInfluencedBy 
prov:wasAttributedTo,owl:ObjectProperty,wasAttributedTo,Attribution is the ascribing of an entity to an agent., ,prov:wasInfluencedBy 
http://www.w3.org/ns/prov-o#,owl:Ontology,W3C PROVenance Interchange Ontology (PROV-O),"This document is published by the Provenance Working Group (http://www.w3.org/2011/prov/wiki/Main_Page). If you wish to make comments regarding this document, please send them to public-prov-comments@w3.org (subscribe public-prov-comments-request@w3.org, archives http://lists.w3.org/Archives/Public/public-prov-comments/). All feedback is welcome. ", ,  
prov:wasQuotedFrom,owl:ObjectProperty,wasQuotedFrom,"An entity is derived from an original entity by copying, or 'quoting', some or all of it. ", ,prov:wasDerivedFrom 
prov:hadPlan,owl:ObjectProperty,hadPlan,The _optional_ Plan adopted by an Agent in Association with some Activity. Plan specifications are out of the scope of this specification., ,  
prov:ActivityInfluence,owl:Class,ActivityInfluence,It is not recommended that the type ActivityInfluence be asserted without also asserting one of its more specific subclasses.,b0,  
prov:ActivityInfluence,owl:Class,ActivityInfluence,It is not recommended that the type ActivityInfluence be asserted without also asserting one of its more specific subclasses.,prov:Influence,  
prov:ActivityInfluence,owl:Class,ActivityInfluence,ActivityInfluence provides additional descriptions of an Activity's binary influence upon any other kind of resource. Instances of ActivityInfluence use the prov:activity property to cite the influencing Activity.,b0,  
prov:ActivityInfluence,owl:Class,ActivityInfluence,ActivityInfluence provides additional descriptions of an Activity's binary influence upon any other kind of resource. Instances of ActivityInfluence use the prov:activity property to cite the influencing Activity.,prov:Influence,  
prov:qualifiedDerivation,owl:ObjectProperty,qualifiedDerivation,"If this Entity prov:wasDerivedFrom Entity :e, then it can qualify how it was derived using prov:qualifiedDerivation [ a prov:Derivation;  prov:entity :e; :foo :bar ]. ", ,prov:qualifiedInfluence 
prov:PrimarySource,owl:Class,PrimarySource,"An instance of prov:PrimarySource provides additional descriptions about the binary prov:hadPrimarySource relation from some secondary prov:Entity to an earlier, primary prov:Entity. For example, :blog prov:hadPrimarySource :newsArticle; prov:qualifiedPrimarySource [ a prov:PrimarySource; prov:entity :newsArticle; :foo :bar ] . ",prov:Derivation,  
prov:hadGeneration,owl:ObjectProperty,hadGeneration,The _optional_ Generation involved in an Entity's Derivation., ,  
prov:influencer,owl:ObjectProperty,influencer,"Subproperties of prov:influencer are used to cite the object of an unqualified PROV-O triple whose predicate is a subproperty of prov:wasInfluencedBy (e.g. prov:used, prov:wasGeneratedBy). prov:influencer is used much like rdf:object is used. ", ,  
prov:startedAtTime,owl:DatatypeProperty,startedAtTime,The time at which an activity started. See also prov:endedAtTime., ,  
prov:qualifiedInvalidation,owl:ObjectProperty,qualifiedInvalidation,"If this Entity prov:wasInvalidatedBy Activity :a, then it can qualify how it was invalidated using prov:qualifiedInvalidation [ a prov:Invalidation;  prov:activity :a; :foo :bar ]. ", ,prov:qualifiedInfluence 
prov:Invalidation,owl:Class,Invalidation,"An instance of prov:Invalidation provides additional descriptions about the binary prov:wasInvalidatedBy relation from an invalidated prov:Entity to the prov:Activity that invalidated it. For example, :uncracked_egg prov:wasInvalidatedBy :baking; prov:qualifiedInvalidation [ a prov:Invalidation; prov:activity :baking; :foo :bar ]. ",prov:InstantaneousEvent,  
prov:Invalidation,owl:Class,Invalidation,"An instance of prov:Invalidation provides additional descriptions about the binary prov:wasInvalidatedBy relation from an invalidated prov:Entity to the prov:Activity that invalidated it. For example, :uncracked_egg prov:wasInvalidatedBy :baking; prov:qualifiedInvalidation [ a prov:Invalidation; prov:activity :baking; :foo :bar ]. ",prov:ActivityInfluence,  
prov:wasInformedBy,owl:ObjectProperty,wasInformedBy,"An activity a2 is dependent on or informed by another activity a1, by way of some unspecified entity that is generated by a1 and used by a2. ", ,prov:wasInfluencedBy 
prov:Plan,owl:Class,Plan,"There exist no prescriptive requirement on the nature of plans, their representation, the actions or steps they consist of, or their intended goals. Since plans may evolve over time, it may become necessary to track their provenance, so plans themselves are entities. Representing the plan explicitly in the provenance can be useful for various tasks: for example, to validate the execution as represented in the provenance record, to manage expectation failures, or to provide explanations. ",prov:Entity,  
prov:Association,owl:Class,Association,"An instance of prov:Association provides additional descriptions about the binary prov:wasAssociatedWith relation from an prov:Activity to some prov:Agent that had some responsiblity for it. For example, :baking prov:wasAssociatedWith :baker; prov:qualifiedAssociation [ a prov:Association; prov:agent :baker; :foo :bar ]. ",prov:AgentInfluence,  
